"","x"
"1",-0.660812623926375
"2",1.46257074633853
"3",-1.92704606232367
"4",1.80506900256477
"5",-2.10433863949435
"6",-0.320443927476533
"7",-1.06267575707394
"8",0.403347031536381
"9",-0.480965867898479
"10",1.41073327327235
"11",0.251113715772173
"12",0.0297767839755657
"13",-0.169918013206262
"14",-1.75656735318268
"15",1.20039777541827
"16",0.305231406629766
"17",0.206431798290484
"18",0.319462442313461
"19",-0.912682381411291
"20",0.501544077502853
"21",-1.48328854076533
"22",1.31600062646602
"23",-1.45927386170131
"24",2.97598328610259
"25",-1.48604565985732
"26",1.00743955964333
"27",-1.44532130512723
"28",0.667920733519477
"29",-2.07873827223934
"30",-0.385629588887922
"31",-0.159120804877038
"32",0.526551190905982
"33",0.306545715051271
"34",-0.491912567284467
"35",0.206705063752302
"36",-0.372735527584425
"37",-1.04765676500808
"38",-0.321940178698006
"39",-0.968714298249677
"40",-0.203871075804669
"41",0.605078239354593
"42",-1.9849835134361
"43",-0.804735012540256
"44",-0.451946462501962
"45",-0.381807664112185
"46",0.56722032389455
"47",0.537348606725919
"48",-0.857217538495768
"49",0.999981524833246
"50",-0.143806787833809
"51",0.968345690961963
"52",1.13317513646215
"53",0.176383837578676
"54",0.538242596391696
"55",-0.011215875104795
"56",-1.07542315891008
"57",0.4436671387452
"58",-1.690136053929
"59",-0.421985164362459
"60",-0.351784953847752
"61",-0.330740254277491
"62",0.255335743724415
"63",0.332274413524405
"64",-0.15501288536597
"65",1.29784581554443
"66",1.29588232963332
"67",0.826810522903341
"68",-0.104759827405008
"69",2.38508654177488
"70",0.0854957633912039
"71",0.862647932367353
"72",-0.678822065173625
"73",1.13455670674623
"74",-0.973885548287887
"75",0.31609701228942
"76",-1.27635693296033
"77",-0.347584373415773
"78",-1.54253508465985
"79",0.492313088644845
"80",-0.0823510192799218
"81",0.926172954205783
"82",0.108058793534782
"83",1.89601795484513
"84",0.733859551634737
"85",1.92185044954705
"86",0.829476799815998
"87",1.67840558520647
"88",0.595030279144954
"89",0.514982547203033
"90",-1.13610321211091
"91",-0.172460304352817
"92",0.736515034692718
"93",0.29056312736509
"94",0.0184395478863501
"95",1.30459499099787
"96",-0.15174291177456
"97",1.13980856802005
"98",-0.295197626942909
"99",0.937367511533105
"100",1.27498246623134
"101",-0.140523934223562
"102",0.857968580521412
"103",0.432108145687413
"104",-0.757877066621512
"105",0.312654519973842
"106",-0.458897689632889
"107",-1.18522232949438
"108",-1.20826535476422
"109",-1.44579789442117
"110",0.414677504501834
"111",0.787996359611445
"112",-0.441179476980361
"113",-0.517534780757462
"114",-0.846431575370036
"115",-0.527846402188067
"116",-0.351975215202578
"117",0.162190142700155
"118",-1.48908557102342
"119",2.12175559547125
"120",-0.51760902913801
"121",0.676382598762837
"122",-0.630870676192635
"123",0.787816019483512
"124",-1.01985056733211
"125",-1.42390646862694
"126",-0.503539964107748
"127",-0.306252024495391
"128",0.724531160688012
"129",-1.38040670890386
"130",-0.233155537092902
"131",0.136793893467601
"132",-0.199090238391591
"133",0.738578600847557
"134",0.00774924525797563
"135",-0.481669378064487
"136",0.810835124525743
"137",-2.73429909825172
"138",-0.242155393860667
"139",-1.90883705258316
"140",0.207820489466762
"141",-0.551920507929037
"142",0.296783883675826
"143",-0.743929811914802
"144",1.08965393053538
"145",1.28198633305461
"146",-1.03853693961367
"147",2.94469277184728
"148",-0.33414775253601
"149",-0.0297541548055131
"150",-0.0924699740786124
"151",-0.0324342623716326
"152",0.541448930952681
"153",-0.621606438275227
"154",-1.23570339435842
"155",-1.80841164075178
"156",0.498642534811492
"157",-0.584050259677483
"158",-0.833659550133448
"159",-2.27739235221562
"160",-0.483561506249873
"161",-2.18721356766438
"162",-0.0656862357951269
"163",-1.13334007787505
"164",0.315502713635466
"165",0.502775278017181
"166",-0.230951658204849
"167",0.547274704506084
"168",-0.610988267621888
"169",0.0766550376856922
"170",-0.729472553041663
"171",0.938483093379161
"172",-0.726378705914738
"173",-0.313349418357438
"174",0.0411067747659858
"175",-1.5526237508014
"176",-1.36301143388124
"177",0.0487729264616669
"178",0.247619490497084
"179",1.79636438436722
"180",0.963775285783328
"181",1.05643025720113
"182",0.266699056119682
"183",-0.374654104772702
"184",-0.21697464636323
"185",-2.94925091878764
"186",0.31632949574114
"187",-3.4103554557863
"188",-0.182937528175377
"189",-1.57430745322858
"190",-0.558725394240845
"191",-1.1403825061211
"192",0.0379876729175124
"193",0.563686091322321
"194",-0.872654482680115
"195",2.03559725119051
"196",-1.03419516083836
"197",1.5758041196895
"198",-0.199449459021705
"199",-0.600985961033728
"200",1.02373655757867
"201",-0.0978199006822076
"202",0.808020216863902
"203",0.639804720833943
"204",-0.0518282206016757
"205",0.957261638220864
"206",-1.36584542610767
"207",0.984480290496553
"208",-0.0561008802361305
"209",0.0677938048198221
"210",1.28468124177599
"211",-0.549488520499166
"212",0.263107765885616
"213",-1.37685499129812
"214",0.585144222560701
"215",-1.21084613305601
"216",-0.240171125045378
"217",0.859080806216119
"218",-1.00852844127037
"219",-0.308882727607764
"220",0.193051673646299
"221",-0.225769339443247
"222",0.107573456287514
"223",-0.739279363542904
"224",-2.59325555646429
"225",-0.116372084566439
"226",-2.27370949127401
"227",1.33338388854767
"228",-1.45637171504418
"229",1.87947770937323
"230",-3.20867459112859
"231",1.23127033787508
"232",-0.976366937698151
"233",0.362544704922438
"234",-0.132950283720126
"235",1.51440878072515
"236",0.713991542821629
"237",1.01125858618665
"238",-1.37354391260858
"239",-0.0313121739184036
"240",-0.535947221069074
"241",-1.02176898351302
"242",-0.570650662050811
"243",-1.290865703018
"244",0.558428425454044
"245",-1.17818428823987
"246",0.716086373092297
"247",0.173959885945974
"248",-0.0927607433048798
"249",0.532826945945973
"250",-1.70603762643121
"251",-0.245787836466525
"252",-1.34779113716759
"253",-0.0977211934938459
"254",-1.46753616933517
"255",-1.22244717661456
"256",0.825490746366644
"257",-0.162708544483299
"258",-0.363002848558956
"259",1.37271971630038
"260",-0.225580328692731
"261",-0.957173836744941
"262",0.0146678048509973
"263",-1.72585975036206
"264",-0.923867664796822
"265",-1.13254660789581
"266",1.13148803461747
"267",0.634056743081832
"268",-1.79257716869548
"269",0.474321068105462
"270",-0.334755409653449
"271",-1.39341180679004
"272",2.40244616160512
"273",-2.14801167147798
"274",1.1345637881873
"275",-1.89817146519032
"276",2.09070178733672
"277",-1.47835012465911
"278",0.365371551852832
"279",-1.99786520978954
"280",-0.699990057494409
"281",-0.316352557891881
"282",0.353604383532833
"283",0.709134164246946
"284",0.305320745023753
"285",1.98758152948505
"286",-0.722097306413873
"287",-1.32206032561433
"288",0.0900889747163339
"289",0.355475261498668
"290",-0.111169764635216
"291",0.116578656287476
"292",0.243774148519148
"293",0.221203101346578
"294",2.05383491567904
"295",-0.424269671368334
"296",1.65012472561404
"297",-2.892764931321
"298",-1.80879103290884
"299",-0.896702445827352
"300",-0.321300584486605
"301",2.02542676744261
"302",0.312038314484895
"303",1.76521229540906
"304",-1.23559366239999
"305",1.13662350755924
"306",-1.33857600126509
"307",-0.0436910893006889
"308",-1.56362777790582
"309",0.0187406502071824
"310",-0.966953916282244
"311",-0.205901644652813
"312",0.516703773449933
"313",-0.381384218138717
"314",-0.519887737259637
"315",-0.255887769096818
"316",-0.41334223043495
"317",0.292891203308444
"318",-0.614779374623665
"319",0.508705304814172
"320",0.948150618936715
"321",-0.172666811010655
"322",0.54826597702078
"323",-0.441069846115331
"324",0.16075248388877
"325",0.251818544851198
"326",1.63365708926105
"327",-1.28327695405021
"328",0.793978292942882
"329",-1.04902547147311
"330",1.10148130796105
"331",-0.315835573174984
"332",-0.251651608895233
"333",-0.0492111755943058
"334",-0.194142815769873
"335",-0.179542976599482
"336",0.472957462182233
"337",0.456244269724531
"338",1.90557421309427
